link,date,time,score,length 1,damage 1,source 1,length 2,damage 2,source 2,length 3,damage 3,source 3,length 4,damage 4,source 4,length 5,damage 5,source 5,length 6,damage 6,source 6,length 7,damage 7,source 7,length 8,damage 8,source 8,length 9,damage 9,source 9
https://dps.report/Iyyi-20231021-222535_sam,21.10.2023,22:25:35,nan,4.7,4481.0,Rosenrot.1293,1.799,130.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/TQaP-20231021-222720_sam,21.10.2023,22:27:20,nan,4.399,4319.0,Rosenrot.1293,3.498,4399.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/uEif-20231021-222932_sam,21.10.2023,22:29:32,nan,5.909,4581.0,Rosenrot.1293,8.205,2141.5,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/j9cl-20231021-223112_sam,21.10.2023,22:31:12,nan,5.101,3893.0,Rosenrot.1293,6.494,3584.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/vFu7-20231021-223221_sam,21.10.2023,22:32:21,nan,9.794,2822.0,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/j6JZ-20231021-223357_sam,21.10.2023,22:33:57,nan,4.397,3864.0,Rosenrot.1293,6.898,3684.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/rxyF-20231021-223541_sam,21.10.2023,22:35:41,nan,3.895,4091.0,Rosenrot.1293,1.702,0.0,Balthazar.9024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/aI3e-20231021-223719_sam,21.10.2023,22:37:19,nan,3.608,4481.0,Rosenrot.1293,5.099,1073.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/5Zy8-20231021-223825_sam,21.10.2023,22:38:25,nan,9.197,3021.0,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/EC63-20231021-224021_sam,21.10.2023,22:40:21,nan,7.012,3874.0,Rosenrot.1293,6.295,3764.5,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/eh1D-20231021-224213_sam,21.10.2023,22:42:13,nan,4.0,4254.0,Rosenrot.1293,3.098,4399.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
