link,date,time,p1 breakbar start,p1 breakbar end,p1 end,s1 start,s1 add1 death,s1 add2 death,s1 add3 death,s1 add4 death,p2 start,p2 breakbar start,p2 breakbar end,p2 end,s2 start,s2 add1 death,s2 add2 death,s2 add3 death,s2 add4 death,p3 start,p3 breakbar start,p3 breakbar end,p3 end
https://dps.report/Fmrd-20230919-192428_gors,2023.09.19,19:24:28,12.255,12.473,20.882,,,,,,,,,,,,,,,,,,
https://dps.report/fwcM-20230919-192615_gors,2023.09.19,19:26:15,14.025,14.238,20.732,20.905,36.009,32.794,34.697,36.203,36.172,55.178,55.427,59.746,,,,,,,,,
https://dps.report/tj6Y-20230919-192849_gors,2023.09.19,19:28:49,14.014,14.26,19.814,19.977,31.962,33.581,35.863,34.064,35.831,54.385,54.617,58.583,,,,,,,,,
https://dps.report/Q5M2-20230919-193001_gors,2023.09.19,19:30:01,12.139,12.357,,,,,,,,,,,,,,,,,,,
https://dps.report/tCho-20230919-193111_gors,2023.09.19,19:31:11,13.439,13.685,20.798,21.804,,,,,,,,,,,,,,,,,
https://dps.report/2MXE-20230922-191033_gors,2023.09.22,19:10:33,13.729,13.966,,,,,,,,,,,,,,,,,,,
https://dps.report/9WTX-20230922-191604_gors,2023.09.22,19:16:04,13.005,13.238,19.82,21.249,37.626,36.518,34.215,34.511,37.581,56.519,56.762,59.626,59.768,83.712,81.115,74.923,78.623,83.697,99.68,99.929,
https://dps.report/SRff-20230922-191806_gors,2023.09.22,19:18:06,14.151,14.393,20.567,20.713,35.97,31.772,35.269,32.966,35.878,,,,,,,,,,,,
https://dps.report/7K1D-20230922-192038_gors,2023.09.22,19:20:38,13.981,14.204,20.561,20.746,32.798,34.201,35.708,36.446,36.388,55.122,55.381,57.547,57.698,76.411,79.416,72.708,76.71,79.321,95.359,95.612,
https://dps.report/Q2fv-20230922-192149_gors,2023.09.22,19:21:49,13.435,13.691,20.319,,,,,,,,,,,,,,,,,,
https://dps.report/gu5V-20230922-192458_gors,2023.09.22,19:24:58,14.556,14.786,19.676,20.465,33.286,35.895,32.784,35.187,35.802,55.475,55.701,58.454,59.057,74.089,81.584,73.285,74.68,81.502,97.639,97.86,
https://dps.report/bqvm-20230922-192830_gors,2023.09.22,19:28:30,13.229,13.475,19.824,19.981,34.923,33.212,34.923,32.703,34.818,,,,,,,,,,,,
https://dps.report/G4zZ-20230922-193105_gors,2023.09.22,19:31:05,13.897,14.123,20.443,20.598,34.515,33.413,34.903,36.907,36.879,55.524,55.775,58.328,58.489,72.914,79.81,73.307,74.618,79.771,95.758,96.006,
