link,date,time,phase 1 start,phase 2 start,phase 3 start,phase 1 - add1,phase 1 - add2,phase 1 - add3,phase 2 - add1,phase 2 - add2,phase 2 - add3,phase 2 - add4,phase 2 - add5,phase 3 - add1,phase 3 - add2,phase 3 - add3,phase 3 - add4,phase 3 - add5,phase 3 - add6,phase 3 - add7,phase 1 - slam1,phase 2 - slam1,phase 2 - slam2,phase 3 - slam1,phase 3 - slam2,phase 3 - slam3,phase 3 - slam4
https://dps.report/IvoM-20240309-140333_cerus,2024.03.09,14:03:33,0.0,122.847,317.427,26.14,51.496,,44.525,60.156,111.77,179.003,180.13,45.106,61.832,,,,,,75.012,68.051,135.288,53.435,,,
https://dps.report/XplJ-20240309-140755_cerus,2024.03.09,14:07:55,0.0,122.378,,26.134,51.499,,,,,,,,,,,,,,74.997,,,,,,
https://dps.report/m655-20240309-141221_cerus,2024.03.09,14:12:21,0.0,129.15,,26.136,51.479,,44.557,60.127,,,,,,,,,,,74.999,68.041,,,,,
https://dps.report/CFPq-20240309-141538_cerus,2024.03.09,14:15:38,0.0,120.527,,26.14,51.507,,,,,,,,,,,,,,75.022,,,,,,
https://dps.report/EYH3-20240309-141842_cerus,2024.03.09,14:18:42,0.0,122.043,,26.127,51.493,,,,,,,,,,,,,,75.019,,,,,,
https://dps.report/M9W5-20240309-142018_cerus,2024.03.09,14:20:18,0.0,,,26.137,51.486,,,,,,,,,,,,,,,,,,,,
https://dps.report/XHho-20240309-142708_cerus,2024.03.09,14:27:08,0.0,125.974,318.04,26.139,51.494,,44.527,60.125,111.767,,,45.131,61.862,,,,,,75.001,68.045,135.285,53.436,,,
https://dps.report/zLqV-20240309-143153_cerus,2024.03.09,14:31:53,0.0,124.723,,26.124,51.517,,44.534,60.136,111.758,,,,,,,,,,75.02,68.062,,,,,
https://dps.report/Z6ee-20240309-143805_cerus,2024.03.09,14:38:05,0.0,130.137,,26.129,51.497,,44.51,60.111,111.732,,,,,,,,,,74.988,68.04,135.265,,,,
https://dps.report/CpiD-20240309-144447_cerus,2024.03.09,14:44:47,0.0,123.757,308.749,26.134,51.478,,44.517,60.126,111.76,,,45.141,61.858,,,,,,75.01,68.047,135.277,53.452,,,
https://dps.report/lwbB-20240309-144829_cerus,2024.03.09,14:48:29,0.0,130.491,,26.121,51.497,,,,,,,,,,,,,,75.01,,,,,,
https://dps.report/bgbT-20240309-145522_cerus,2024.03.09,14:55:22,0.0,121.841,315.171,26.127,51.487,,44.526,60.141,111.759,,,45.105,61.847,,,,,,75.001,68.043,135.271,53.435,,,
