link,date,time,phase 1 start,phase 2 start,phase 3 start,phase 1 - add1,phase 1 - add2,phase 1 - add3,phase 2 - add1,phase 2 - add2,phase 2 - add3,phase 2 - add4,phase 2 - add5,phase 3 - add1,phase 3 - add2,phase 3 - add3,phase 3 - add4,phase 3 - add5,phase 3 - add6,phase 3 - add7,phase 1 - slam1,phase 2 - slam1,phase 2 - slam2,phase 3 - slam1,phase 3 - slam2,phase 3 - slam3,phase 3 - slam4
https://dps.report/4rK9-20240309-144829_cerus,2024.03.09,14:48:29,0.0,130.491,,26.121,51.497,,,,,,,,,,,,,,75.01,,,,,,
https://dps.report/qLjm-20240309-145522_cerus,2024.03.09,14:55:22,0.0,121.841,315.171,26.127,51.487,,44.526,60.141,111.759,,,45.105,61.847,,,,,,75.001,68.043,135.271,53.435,,,
https://dps.report/9TiB-20240309-150522_cerus,2024.03.09,15:05:22,0.0,132.129,329.478,26.116,51.493,,44.554,60.125,111.772,179.005,180.133,45.138,61.847,,,,,,75.006,68.021,135.273,53.456,,,
https://dps.report/mDKM-20240309-151340_cerus,2024.03.09,15:13:40,0.0,122.695,312.134,26.138,51.478,,44.514,60.099,111.736,187.798,,45.107,61.841,,,,,,75.01,68.039,135.267,53.425,,,
https://dps.report/XlGj-20240309-152427_cerus,2024.03.09,15:24:27,0.0,130.78,316.681,26.146,51.502,,44.525,60.111,111.76,,,45.136,61.848,,,,,,75.011,68.045,135.259,53.456,,,
https://dps.report/KYgH-20240312-202316_cerus,2024.03.12,20:23:16,0.0,130.397,,26.13,51.472,,44.54,60.117,,,,,,,,,,,75.014,68.056,,,,,
https://dps.report/4tZT-20240312-202621_cerus,2024.03.12,20:26:21,0.0,124.797,,26.124,51.49,,,,,,,,,,,,,,75.013,,,,,,
https://dps.report/u8Jt-20240312-203319_cerus,2024.03.12,20:33:19,0.0,125.6,319.724,26.121,51.505,,44.53,60.123,111.757,,,45.134,61.853,,,,,,75.021,68.052,135.29,53.442,,,
https://dps.report/71ID-20240312-204048_cerus,2024.03.12,20:40:48,0.0,122.648,319.874,26.122,51.49,,44.511,60.112,111.743,,,45.122,61.854,,,,,,75.015,68.031,135.26,53.448,,,
https://dps.report/Ldh1-20240312-204555_cerus,2024.03.12,20:45:55,0.0,126.414,,26.126,51.488,,44.525,60.129,,,,,,,,,,,74.993,68.036,,,,,
https://dps.report/fNoi-20240312-205042_cerus,2024.03.12,20:50:42,0.0,123.779,,26.12,51.471,,44.495,60.095,111.743,,,,,,,,,,75.014,68.023,135.253,,,,
https://dps.report/IiJT-20240312-205101_cerus,2024.03.12,20:51:01,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://dps.report/MWoj-20240312-205149_cerus,2024.03.12,20:51:49,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://dps.report/KhwX-20240312-205421_cerus,2024.03.12,20:54:21,0.0,123.153,,26.109,51.48,,,,,,,,,,,,,,75.012,,,,,,
https://dps.report/0FAN-20240312-210225_cerus,2024.03.12,21:02:25,0.0,119.245,316.88,26.116,51.474,,44.498,60.111,111.74,191.477,,45.126,61.841,129.093,135.102,,,,75.001,68.04,135.259,53.433,120.665,,
https://dps.report/V1tC-20240312-211511_cerus,2024.03.12,21:15:11,0.0,129.089,322.042,26.134,51.469,,44.516,60.108,111.756,,,45.136,61.844,,,,,,74.991,68.029,135.276,53.428,,,
https://dps.report/TFmT-20240312-213211_cerus,2024.03.12,21:32:11,0.0,124.722,308.87,26.116,51.478,,44.54,60.11,111.776,,,45.131,61.856,129.092,135.129,,,,75.019,68.04,135.277,53.455,120.706,,
https://dps.report/uVRW-20240312-213651_cerus,2024.03.12,21:36:51,0.0,,,26.116,,,,,,,,,,,,,,,,,,,,,
https://dps.report/grYS-20240312-214056_cerus,2024.03.12,21:40:56,0.0,123.16,,26.119,51.476,,44.521,60.122,,,,,,,,,,,75.013,68.04,,,,,
https://dps.report/dh16-20240312-214501_cerus,2024.03.12,21:45:01,0.0,125.567,,26.116,51.478,,44.519,60.103,,,,,,,,,,,75.018,68.028,,,,,
https://dps.report/6zym-20240312-215154_cerus,2024.03.12,21:51:54,0.0,121.429,305.003,26.124,51.469,,44.539,60.124,111.774,,,45.118,61.837,,,,,,74.992,68.039,135.277,53.433,,,
https://dps.report/aDwY-20240312-215214_cerus,2024.03.12,21:52:14,0.0,,,,,,,,,,,,,,,,,,,,,,,,
