link,date,time,stacks P1,stacks P2,final percent,final stacks,barrier applications,total barrier,downstates
https://dps.report/IvoM-20240309-140333_cerus,2024.03.09,14:03:33,0,10,39.64,23,11,1507652,8
https://dps.report/XplJ-20240309-140755_cerus,2024.03.09,14:07:55,5,,75.25,5,0,7923,6
https://dps.report/m655-20240309-141221_cerus,2024.03.09,14:12:21,2,,62.68,3,3,1546500,5
https://dps.report/CFPq-20240309-141538_cerus,2024.03.09,14:15:38,,,70.81,0,9,511773,1
https://dps.report/EYH3-20240309-141842_cerus,2024.03.09,14:18:42,0,,79.08,15,3,40645,0
https://dps.report/M9W5-20240309-142018_cerus,2024.03.09,14:20:18,,,88.96,5,2,92823,1
https://dps.report/XHho-20240309-142708_cerus,2024.03.09,14:27:08,0,13,40.26,13,12,1855114,10
https://dps.report/zLqV-20240309-143153_cerus,2024.03.09,14:31:53,0,,59.1,2,2,837697,2
https://dps.report/Z6ee-20240309-143805_cerus,2024.03.09,14:38:05,2,,52.54,22,31,2287179,6
https://dps.report/CpiD-20240309-144447_cerus,2024.03.09,14:44:47,0,6,39.08,16,1,1204717,1
https://dps.report/lwbB-20240309-144829_cerus,2024.03.09,14:48:29,7,,73.55,7,3,648830,3
https://dps.report/bgbT-20240309-145522_cerus,2024.03.09,14:55:22,1,2,38.18,18,5,994382,2
https://dps.report/AjBx-20240309-150522_cerus,2024.03.09,15:05:22,0,8,38.17,17,11,2145619,6
https://dps.report/3t1C-20240309-151340_cerus,2024.03.09,15:13:40,1,3,39.69,16,22,1487858,5
https://dps.report/YRJT-20240309-152427_cerus,2024.03.09,15:24:27,3,0,39.48,18,6,745587,5
https://dps.report/qgZU-20240312-202316_cerus,2024.03.12,20:23:16,6,,68.13,21,2,644428,4
https://dps.report/odlr-20240312-202621_cerus,2024.03.12,20:26:21,2,,78.83,18,5,648028,1
https://dps.report/mFaa-20240312-203319_cerus,2024.03.12,20:33:19,2,8,38.39,15,11,3096870,2
https://dps.report/Lb5q-20240312-204048_cerus,2024.03.12,20:40:48,7,5,36.2,22,7,2098219,4
https://dps.report/7Z9k-20240312-204555_cerus,2024.03.12,20:45:55,2,,63.74,4,3,868861,5
https://dps.report/q7BQ-20240312-205042_cerus,2024.03.12,20:50:42,2,,53.67,8,3,1036070,0
https://dps.report/JSd9-20240312-205101_cerus,2024.03.12,20:51:01,,,99.98,0,0,0,0
https://dps.report/oAm7-20240312-205149_cerus,2024.03.12,20:51:49,,,95.33,0,0,0,0
https://dps.report/1jhV-20240312-205421_cerus,2024.03.12,20:54:21,3,,78.73,18,2,640100,0
https://dps.report/swMy-20240312-210225_cerus,2024.03.12,21:02:25,5,5,30.4,42,17,3523909,10
https://dps.report/mGa1-20240312-211511_cerus,2024.03.12,21:15:11,2,7,39.92,21,15,2837630,4
https://dps.report/Tg2z-20240312-213211_cerus,2024.03.12,21:32:11,0,0,29.53,28,27,2440427,7
https://dps.report/WCkm-20240312-213651_cerus,2024.03.12,21:36:51,,,92.26,5,1,41050,0
https://dps.report/WQ9w-20240312-214056_cerus,2024.03.12,21:40:56,3,,63.1,4,2,832606,3
https://dps.report/Z5ID-20240312-214501_cerus,2024.03.12,21:45:01,6,,62.1,7,4,1475102,2
https://dps.report/KGvS-20240312-215154_cerus,2024.03.12,21:51:54,2,6,38.5,13,6,1051453,1
https://dps.report/2gXw-20240312-215214_cerus,2024.03.12,21:52:14,,,99.99,0,0,0,0
https://dps.report/bDjh-20240312-215936_cerus,2024.03.12,21:59:36,0,5,38.65,10,6,1407012,4
https://dps.report/dVNH-20240312-220114_cerus,2024.03.12,22:01:14,,,93.45,5,3,94145,0
https://dps.report/0hJ7-20240312-220803_cerus,2024.03.12,22:08:03,0,5,38.06,19,2,1040609,1
https://dps.report/ZYJO-20240312-221751_cerus,2024.03.12,22:17:51,,,86.8,5,1,162327,0
https://dps.report/nvvQ-20240312-222451_cerus,2024.03.12,22:24:51,2,8,38.89,26,3,1548312,4
https://dps.report/4siD-20240312-223144_cerus,2024.03.12,22:31:44,1,4,38.74,20,5,1721068,2
https://dps.report/g5Gt-20240312-223845_cerus,2024.03.12,22:38:45,0,,51.12,2,0,0,3
https://dps.report/nddD-20240312-224520_cerus,2024.03.12,22:45:20,0,0,39.69,22,8,360041,9
https://dps.report/g1gr-20240313-201026_cerus,2024.03.13,20:10:26,5,3,38.55,18,13,1992885,5
https://dps.report/bu37-20240313-201724_cerus,2024.03.13,20:17:24,0,2,38.21,13,4,40645,0
https://dps.report/mToz-20240313-202459_cerus,2024.03.13,20:24:59,2,0,38.3,8,5,540664,2
https://dps.report/GBO3-20240313-203206_cerus,2024.03.13,20:32:06,1,0,37.96,16,0,10080,3
https://dps.report/DAYz-20240313-203227_cerus,2024.03.13,20:32:27,,,99.98,0,0,0,0
https://dps.report/CdXB-20240313-203648_cerus,2024.03.13,20:36:48,0,,58.65,6,12,893622,3
https://dps.report/aaw1-20240313-204332_cerus,2024.03.13,20:43:32,0,2,38.12,14,9,1326371,2
https://dps.report/Wsf5-20240313-204813_cerus,2024.03.13,20:48:13,7,,57.15,12,3,730837,1
https://dps.report/N6SP-20240313-205459_cerus,2024.03.13,20:54:59,,,86.07,7,4,692330,1
https://dps.report/qNDU-20240313-205906_cerus,2024.03.13,20:59:06,0,,60.86,2,1,294965,2
https://dps.report/frqF-20240313-210622_cerus,2024.03.13,21:06:22,0,2,39.04,5,9,1823681,4
https://dps.report/IAj8-20240313-211300_cerus,2024.03.13,21:13:00,1,5,38.59,9,3,901016,2
https://dps.report/AnBo-20240313-211720_cerus,2024.03.13,21:17:20,1,,61.09,1,1,500060,2
https://dps.report/EVte-20240313-212205_cerus,2024.03.13,21:22:05,0,,51.93,10,0,0,1
https://dps.report/nJMs-20240313-212509_cerus,2024.03.13,21:25:09,,,74.85,0,0,0,2
https://dps.report/s5Jb-20240313-212741_cerus,2024.03.13,21:27:41,1,,78.87,6,0,0,0
https://dps.report/m3nt-20240313-213422_cerus,2024.03.13,21:34:22,0,1,38.53,12,13,518092,2
https://dps.report/ooJj-20240313-214937_cerus,2024.03.13,21:49:37,0,0,38.48,2,2,20696,4
https://dps.report/lwbL-20240313-215703_cerus,2024.03.13,21:57:03,5,0,39.33,20,1,70329,7
https://dps.report/AexV-20240313-220312_cerus,2024.03.13,22:03:12,0,0,49.52,1,0,0,0
https://dps.report/0HgW-20240313-220742_cerus,2024.03.13,22:07:42,1,,54.54,7,2,686087,3
https://dps.report/uaPl-20240313-221413_cerus,2024.03.13,22:14:13,0,10,38.35,12,5,956449,2
https://dps.report/ilvl-20240313-222105_cerus,2024.03.13,22:21:05,1,5,38.33,23,16,2263371,3
https://dps.report/4Uyv-20240313-222814_cerus,2024.03.13,22:28:14,0,0,38.16,15,0,60805,2
https://dps.report/kRtc-20240313-223231_cerus,2024.03.13,22:32:31,3,,63.62,12,10,1985473,5
https://dps.report/UWbm-20240313-223809_cerus,2024.03.13,22:38:09,2,3,48.41,14,3,325384,1
https://dps.report/mDDF-20240313-224524_cerus,2024.03.13,22:45:24,2,6,39.45,9,7,2159477,7
https://dps.report/pJew-20240313-224648_cerus,2024.03.13,22:46:48,,,95.06,5,0,99962,0
https://dps.report/exqa-20240313-224747_cerus,2024.03.13,22:47:47,,,96.6,0,0,0,0
https://dps.report/oubQ-20240316-184140_cerus,2024.03.16,18:41:40,,,85.7,7,5,868768,0
https://dps.report/uWqc-20240316-184227_cerus,2024.03.16,18:42:27,,,96.29,0,0,0,0
https://dps.report/1yGA-20240316-184436_cerus,2024.03.16,18:44:36,,,80.14,3,3,1152330,1
https://dps.report/SMlj-20240316-184710_cerus,2024.03.16,18:47:10,0,,78.57,6,0,0,0
https://dps.report/3jdr-20240316-185206_cerus,2024.03.16,18:52:06,0,,56.97,40,13,2010633,3
https://dps.report/a7ti-20240316-185703_cerus,2024.03.16,18:57:03,0,,57.0,27,3,938229,1
https://dps.report/Uq3O-20240316-190201_cerus,2024.03.16,19:02:01,1,,51.38,29,9,1190616,0
https://dps.report/VnQR-20240316-190942_cerus,2024.03.16,19:09:42,1,18,38.44,35,12,3686808,3
https://dps.report/eK7H-20240316-191025_cerus,2024.03.16,19:10:25,,,99.63,0,0,0,0
https://dps.report/gGmY-20240316-191453_cerus,2024.03.16,19:14:53,6,,56.52,22,8,1478182,2
https://dps.report/paS9-20240316-191727_cerus,2024.03.16,19:17:27,,,80.0,8,2,657756,2
https://dps.report/ZJgx-20240316-192305_cerus,2024.03.16,19:23:05,1,3,48.75,14,4,1009785,0
https://dps.report/reZD-20240316-193231_cerus,2024.03.16,19:32:31,0,4,20.0,36,16,3306674,4
https://dps.report/ZxDq-20240316-195558_cerus,2024.03.16,19:55:58,0,7,28.64,34,15,2568525,2
https://dps.report/ithL-20240316-200210_cerus,2024.03.16,20:02:10,1,,64.67,12,0,0,0
https://dps.report/l1Ru-20240316-201022_cerus,2024.03.16,20:10:22,0,2,27.13,17,20,1682960,3
https://dps.report/9bdz-20240316-202154_cerus,2024.03.16,20:21:54,0,4,27.7,35,25,3087483,3
https://dps.report/60pr-20240316-203000_cerus,2024.03.16,20:30:00,1,9,38.38,25,6,1677433,3
https://dps.report/kyr0-20240316-204101_cerus,2024.03.16,20:41:01,1,3,38.22,23,5,2697592,0
https://dps.report/Lez0-20240316-204905_cerus,2024.03.16,20:49:05,6,3,38.55,16,8,2139700,4
https://dps.report/2Dmc-20240316-205734_cerus,2024.03.16,20:57:34,1,0,25.06,43,43,1830474,7
https://dps.report/TpS6-20240316-210559_cerus,2024.03.16,21:05:59,0,5,21.71,36,12,1713923,2
https://dps.report/eJdj-20240317-155040_cerus,2024.03.17,15:50:40,7,,51.06,15,10,1336043,1
https://dps.report/B29V-20240317-155558_cerus,2024.03.17,15:55:58,3,,49.4,18,16,2683153,1
https://dps.report/ohtj-20240317-155955_cerus,2024.03.17,15:59:55,0,,66.55,11,3,1122262,0
https://dps.report/1JdW-20240317-160229_cerus,2024.03.17,16:02:29,0,,79.07,5,0,0,1
https://dps.report/rDms-20240317-160330_cerus,2024.03.17,16:03:30,,,94.16,0,0,0,1
https://dps.report/DvCl-20240317-161013_cerus,2024.03.17,16:10:13,1,2,34.87,8,11,1530398,2
https://dps.report/HKUw-20240317-161911_cerus,2024.03.17,16:19:11,1,3,22.89,31,17,3277729,2
https://dps.report/5KGO-20240317-161929_cerus,2024.03.17,16:19:29,,,99.99,0,0,0,0
https://dps.report/XwkL-20240317-162645_cerus,2024.03.17,16:26:45,0,0,37.02,15,10,390957,0
https://dps.report/UuGu-20240317-162854_cerus,2024.03.17,16:28:54,,,80.04,2,1,510798,1
https://dps.report/FjCN-20240317-163523_cerus,2024.03.17,16:35:23,2,0,38.4,19,5,646905,1
https://dps.report/EpCB-20240317-164303_cerus,2024.03.17,16:43:03,,,80.12,1,1,608164,2
https://dps.report/y0L7-20240317-165034_cerus,2024.03.17,16:50:34,0,0,27.53,28,14,1130298,4
https://dps.report/ic7M-20240317-165443_cerus,2024.03.17,16:54:43,0,,66.97,8,6,671187,0
https://dps.report/NcQe-20240317-170308_cerus,2024.03.17,17:03:08,2,5,26.16,50,36,3903474,4
https://dps.report/YhgS-20240317-171143_cerus,2024.03.17,17:11:43,2,4,37.8,6,6,600427,1
https://dps.report/IqlG-20240317-171615_cerus,2024.03.17,17:16:15,0,,55.39,10,0,10080,0
https://dps.report/FACN-20240317-172514_cerus,2024.03.17,17:25:14,0,8,16.72,40,13,1575142,2
https://dps.report/Pd6C-20240317-173824_cerus,2024.03.17,17:38:24,1,15,37.94,15,4,1066618,1
https://dps.report/nW0r-20240317-173929_cerus,2024.03.17,17:39:29,,,94.32,0,0,0,0
https://dps.report/1Y8A-20240317-174809_cerus,2024.03.17,17:48:09,0,1,17.49,25,19,3310750,3
https://dps.report/e1Ak-20240317-175704_cerus,2024.03.17,17:57:04,0,2,29.4,24,29,3145618,3
https://dps.report/DxNL-20240317-180451_cerus,2024.03.17,18:04:51,0,3,27.13,12,9,1394230,2
https://dps.report/IySr-20240319-210903_cerus,2024.03.19,21:09:03,8,2,26.5,32,8,2383950,3
https://dps.report/DAkg-20240319-211149_cerus,2024.03.19,21:11:49,,,77.16,0,0,0,0
https://dps.report/j5bv-20240319-211826_cerus,2024.03.19,21:18:26,5,3,38.66,9,7,914734,2
https://dps.report/3U2I-20240319-212538_cerus,2024.03.19,21:25:38,0,1,35.22,6,2,47014,1
https://dps.report/smQq-20240319-212704_cerus,2024.03.19,21:27:04,,,88.66,5,2,157095,0
https://dps.report/s6XU-20240319-213509_cerus,2024.03.19,21:35:09,0,1,23.89,57,28,2589898,5
https://dps.report/9v5w-20240319-214052_cerus,2024.03.19,21:40:52,0,,50.48,18,12,2552907,2
https://dps.report/v8hB-20240319-214827_cerus,2024.03.19,21:48:27,0,3,26.58,6,9,1749265,2
https://dps.report/0Kuv-20240319-220552_cerus,2024.03.19,22:05:52,1,,54.77,12,12,2067122,0
https://dps.report/k2sh-20240319-220936_cerus,2024.03.19,22:09:36,1,,64.34,8,1,571153,0
https://dps.report/334x-20240319-221609_cerus,2024.03.19,22:16:09,2,4,37.99,12,9,1751699,2
https://dps.report/hmc4-20240319-222414_cerus,2024.03.19,22:24:14,0,8,27.52,38,7,2255140,4
